Incident,Counties,Started,Acres,Containment
Radio Fire,Riverside,2019-08-12,20,100%
Yucca Fire,Riverside,2019-08-22,34,100%
Ivy Fire,Riverside,2019-08-25,80,100%
Sage Fire,Riverside,2019-08-27,12,100%
Tenaja,Riverside,2019-09-04,"1,926",100%
Sycamore Fire,Riverside,2019-09-07,250,100%
Bailey Fire,Riverside,2019-09-10,10,100%
Redwood Fire,Riverside,2019-09-12,34,100%
Horseshoe Fire,Riverside,2019-09-14,503,100%
Bautista Fire,Riverside,2019-09-15,167,100%
Kennedy Fire,Riverside,2019-09-21,98,100%
Warren Fire,Riverside,2019-09-30,19,100%
Eagle Fire,Riverside,2019-10-10,9,100%
Reche Fire,Riverside,2019-10-10,350,100%
Wolf Fire,Riverside,2019-10-10,75,100%
Sandalwood Fire,Riverside,2019-10-10,"1,011",100%
Johnson Fire,Riverside,2019-10-14,75,100%
Hill Fire,Riverside,2019-10-31,628,100%
46 Fire,Riverside,2019-10-31,328,100%
Sobrante Fire,Riverside,2019-11-01,19,100%
Mann Fire,Riverside,2020-03-03,180,100%
South Main Fire,Riverside,2020-03-06,20,100%
Gilman Fire,Riverside,2020-05-18,20,100%
Harley Fire,Riverside,2020-05-28,60,100%
Smoketree Fire,Riverside,2020-06-02,129,100%
Grand Fire,Riverside,2020-06-08,27,100%
Sierra Fire,Riverside,2020-06-08,100,100%
Oak Fire,Riverside,2020-06-08,20,100%
Dawson Fire,Riverside,2020-06-13,10,100%
58 Fire,Riverside,2020-06-24,12,100%
Indian Fire,Riverside,2020-06-26,59,100%
Tripp Fire,Riverside,2020-07-09,10,100%
Casino Fire,Riverside,2020-07-13,91,100%
Elliot Fire,Riverside,2020-07-13,2,100%
Jack Fire,Riverside,2020-07-24,145,100%
Karen Fire,Riverside,2020-07-25,250,100%
Rabbit Fire,Riverside,2020-07-30,104,100%
Apple Fire,Riverside,2020-07-31,"33,424",100%
Water Fire,Riverside,2020-08-02,52,100%
El Dorado Fire,"San Bernardino, Riverside",2020-09-05,"22,744",100%
Snow Fire,Riverside,2020-09-17,"6,254",100%
Candy Fire,Riverside,2020-09-29,454,100%
Cypress Fire,"Riverside, San Bernardino",2020-11-01,150,100%
Airport Fire,Riverside,2020-12-01,"1,087",100%
Cerritos Fire,Riverside,2020-12-03,200,100%
Sanderson Fire,Riverside,2020-12-13,"1,954",100%
72 Fire,Riverside,2021-01-19,43,100%
Creek Fire,Riverside,2021-05-04,32,100%
Bridge Fire,Riverside,2021-05-05,226,100%
Davis Fire,Riverside,2021-05-18,300,100%
Parkside Fire,Riverside,2021-05-19,17,100%
Lake Fire,Riverside,2021-05-24,115,100%
Scott Fire,Riverside,2021-06-01,28,100%
Coyote Fire,Riverside,2021-06-02,43,100%
Flats Fire,Riverside,2021-06-13,341,100%
Kathryn Fire,Riverside,2021-06-15,15,100%
Bautista Fire,Riverside,2021-06-19,95,100%
76 Fire,Riverside,2021-06-20,20,100%
Stowe Fire,Riverside,2021-06-28,122,100%
Quail Fire,Riverside,2021-07-20,50,100%
Rock Fire,Riverside,2021-08-24,295,100%
Westward Fire,Riverside,2021-08-25,160,100%
Chaparral Fire,"Riverside, San Diego",2021-08-28,"1,427",100%
Arlanza Fire,Riverside,2021-11-21,24,100%
72 Fire,Riverside,2022-03-26,External Incident LinkExternal Link,
111 Fire,Riverside,2022-04-30,15,100%
Pyrite Fire,Riverside,2022-05-06,60,100%
Coyote Fire,Riverside,2022-05-15,46,100%
Lost Lake Fire,Riverside,2022-05-26,"5,856",100%
62 Fire,Riverside,2022-06-04,60,100%
Union Fire,Riverside,2022-06-25,110,100%
Fairview Fire,Riverside,2022-09-05,"28,098",100%
66 Fire,Riverside,2023-05-15,127,100%
Johnson Fire,Riverside,2023-05-20,,
Ramona Fire,Riverside,2023-05-22,338,100%
Garbani Fire,Riverside,2023-06-20,43,100%
Viper Fire,Riverside,2023-06-21,25,100%
Juniper Fire,Riverside,2023-06-27,68,100%
Bernasconi Fire,Riverside,2023-07-04,18,100%
Day Fire,Riverside,2023-07-05,56,100%
Lincoln Fire,Riverside,2023-07-05,39,100%
Frog Fire,Riverside,2023-07-06,33,100%
Village Fire,Riverside,2023-07-08,External Incident LinkExternal Link,
Rider Fire,Riverside,2023-07-11,12,100%
Spring Fire,Riverside,2023-07-11,35,100%
Snake Fire,Riverside,2023-07-11,30,100%
Avocado Fire,Riverside,2023-07-12,10,100%
Pulsar Fire,Riverside,2023-07-13,12,100%
Highland Fire,Riverside,2023-07-14,105,100%
Rabbit Fire,Riverside,2023-07-14,"8,355",100%
Reche Fire,Riverside,2023-07-14,436,100%
Gavilan Fire,Riverside,2023-07-15,336,100%
Oak Fire,Riverside,2023-07-19,137,100%
Sunset Fire,Riverside,2023-07-27,103,100%
Bonny Fire,Riverside,2023-07-27,"2,323",100%
Nuevo Fire,Riverside,2023-08-01,20,100%
Stanley Fire,Riverside,2023-08-02,16,100%
Almond Fire,Riverside,2023-08-02,95,100%
Rock Fire,Riverside,2023-08-09,531,100%
Meadow Fire,Riverside,2023-09-26,23,100%
Stanley Fire,Riverside,2023-10-17,5,100%
Highland Fire,Riverside,2023-10-30,"2,487",100%
Manzanita Fire,Riverside,2023-11-14,15,100%
Lamb Fire,Riverside,2023-11-14,13,100%
Adams Fire,Riverside,2023-11-19,36,100%
Sierra Fire,Riverside,2023-11-20,35,100%
Elm Fire,Riverside,2023-12-09,65,100%
