time,t2m_mean_C,t2m_max_C,t2m_min_C,rh_mean,rh_max,rh_min,wind_mean,wind_max,wind_min
2013-01-01 09:00:00,11.380740103367657,14.704559,5.7377625,24.308367882916176,35.717587,19.18243,1.498139141436541,2.7716773,0.16391881
2013-01-02 09:00:00,10.951509444950716,13.302704,6.738983,18.35052495547768,22.616909,12.894252,2.532704736486228,4.201877,0.5687836
2013-01-03 09:00:00,13.562696475003861,16.4776,8.081757,15.185314293746499,19.861187,10.23228,2.431973818478222,4.8420925,0.6057294
2013-01-04 09:00:00,14.694495077500108,17.619843,7.877655,12.991782664106776,19.0624,5.3754807,2.017379279447062,3.3977492,0.2390926
2013-01-05 09:00:00,13.366963031937644,15.946625,8.573578,12.057639477982324,19.754173,8.032793,1.143641998835772,2.149989,0.09261393
2013-01-06 09:00:00,13.667183786095563,15.898315,7.984253,14.290853385660885,26.918379,8.601973,0.7364698833011583,1.4450781,0.059018675
2013-01-07 09:00:00,12.550544146015227,17.151947,5.999481,39.739166317541844,47.406567,28.738598,2.053332870634977,3.4738379,0.30681202
2013-01-08 09:00:00,16.153834421601914,19.19925,10.82608,15.031802386500672,23.123684,9.463118,2.467438990031612,4.859591,0.21803766
2013-01-09 09:00:00,20.260044355791592,23.591461,15.753571,24.40913824876647,30.667694,19.6716,1.7740687504400923,3.7101064,0.064990535
2013-01-10 09:00:00,18.104631102692565,21.342194,12.945709,28.632423575961027,42.008087,20.844025,2.27623608905491,3.0327535,1.2070249
2013-01-11 09:00:00,9.70187750493352,14.659332,1.6300354,28.288865249476228,44.77313,9.848711,2.7242166660287355,4.2756367,1.1101332
2013-01-12 09:00:00,8.66951858783193,12.741882,0.8493042,30.455625553138088,42.63408,22.352827,1.2033720905895502,2.385159,0.09599429
2013-01-13 09:00:00,7.793517547211138,10.719452,1.1335144,21.856616486740542,33.81029,17.167938,1.3400629385105005,2.4917593,0.3507749
2013-01-14 09:00:00,7.0364554942821655,9.797882,0.62210083,21.77204618165175,26.992605,11.766043,2.2340392558335385,5.030308,0.544411
2013-01-15 09:00:00,6.4665466719241635,9.626404,2.876831,16.9611806543331,21.351315,13.365044,3.007566513721754,6.5929914,0.37683132
2013-01-16 09:00:00,10.561507785469189,12.729889,8.200409,27.907690854200144,31.507088,23.444588,2.191301395353296,4.898106,0.037646387
