time,t2m_mean_C,t2m_max_C,t2m_min_C,rh_mean,rh_max,rh_min,wind_mean,wind_max,wind_min
2013-01-01 09:00:00,10.947364415550226,12.884247,8.327606,34.42781732062382,45.748634,24.874554,0.7163673016053138,1.4703729,0.12972718
2013-01-02 09:00:00,11.794779837462102,13.933563,8.662811,17.55568488476706,27.228996,12.691127,2.120844796767738,3.9075942,0.20365375
2013-01-03 09:00:00,13.314268957673562,15.196991,10.542694,13.967025855747613,16.833843,9.815811,1.1208828487495044,2.5481105,0.2679584
2013-01-04 09:00:00,14.220755414264943,16.701874,10.619843,11.438505780886988,16.059074,4.5545893,1.5016543578843122,2.8881843,0.16017896
2013-01-05 09:00:00,13.366478286422307,15.372406,9.6770935,10.569753520819907,16.117455,6.7398243,0.9661988555388618,1.851323,0.04114462
2013-01-06 09:00:00,13.654789363899965,15.134644,10.9198,15.488076220843599,18.43791,12.351973,0.860177124427952,1.8734158,0.30724767
2013-01-07 09:00:00,10.981031737074773,13.429169,8.183075,40.97373225278426,51.937817,30.63313,1.259840881783446,2.5271785,0.5034615
2013-01-08 09:00:00,15.608838551193571,17.697296,14.576202,14.236110239992678,16.69009,12.029524,0.8225983704163348,1.7293096,0.338709
2013-01-09 09:00:00,18.15035597715695,21.818024,15.730133,22.045142384950257,24.554241,19.269085,0.5977943169089901,1.6381391,0.024866302
2013-01-10 09:00:00,16.299819007194515,19.307037,14.500397,28.97648298207508,34.648712,23.074493,2.54027298563262,3.771395,1.3734562
2013-01-11 09:00:00,8.284318995169883,12.010895,4.3792114,25.70784000408542,39.53094,12.237973,3.571808078168827,6.1100845,2.1589928
2013-01-12 09:00:00,7.742813468905638,11.107117,3.5778198,32.88509154031141,43.57939,25.72392,0.5913357162043673,1.1833173,0.028176457
2013-01-13 09:00:00,7.798100064561595,10.927032,4.3971863,29.87766982239838,46.032753,20.23825,0.9943456624768109,1.7514238,0.40355462
2013-01-14 09:00:00,7.947326242876102,11.381866,4.5986633,30.34483792168409,45.586075,12.75823,1.1311828255679817,1.8175917,0.60420465
2013-01-15 09:00:00,7.714511138215187,11.089294,3.520935,17.58952691677893,21.109127,13.941159,1.415263606353562,3.215614,0.32358897
2013-01-16 09:00:00,11.385696022635557,13.735565,8.614471,27.072967308351704,31.917244,21.819588,1.664015249303307,4.020923,0.28739572
2013-01-17 09:00:00,15.972244680286735,18.228485,13.751923,19.064895116196272,28.423754,14.35119,2.3236671719290865,4.7450843,0.26627126
2013-01-18 09:00:00,18.231503666194385,21.423187,14.8072815,18.508002452454303,24.742498,14.314693,2.0114992344966756,3.8002658,0.17557044
2013-01-19 09:00:00,18.208853272770796,20.86795,15.444092,15.77126105732898,20.36052,13.010945,1.6408388321164982,3.2779381,0.10823852
2013-01-20 09:00:00,20.129513332961267,23.112366,17.419006,13.50982866307518,16.687244,10.056804,1.2394580601797898,2.6218684,0.14074238
2013-01-21 09:00:00,20.244356551096814,22.779541,17.865479,7.967791376826029,11.426617,5.9227104,1.2106694251559975,2.5328112,0.17179008
2013-01-22 09:00:00,20.789793801815847,23.32428,18.248108,7.662207721560829,9.389568,6.246109,1.2204106399783423,2.636231,0.09038413
2013-01-23 09:00:00,21.313350280779616,23.269257,19.009491,12.089034264938473,14.966009,9.522276,1.298253711074821,1.9944712,0.13848908
2013-01-24 09:00:00,20.18641076463956,22.120087,18.74704,29.152934399532757,33.50023,23.555191,0.3553140971209514,0.6190164,0.13165283
2013-01-25 09:00:00,18.464384138718913,20.283875,16.127625,61.55810656533583,73.68636,48.607506,1.2457357678571606,2.168462,0.54731405
2013-01-26 09:00:00,14.836477040229738,16.94513,11.9422,81.23329058696523,90.54922,66.621025,0.41483951982924616,0.7782821,0.19623408
2013-01-27 09:00:00,13.362603005166989,15.387421,10.656952,64.10730809148693,98.57448,14.243125,2.527171525356145,3.8744142,0.85430765
2013-01-28 09:00:00,10.725418821923768,14.579498,7.0521545,48.07830979730063,74.77091,14.089628,2.7486985932527648,5.852472,1.4721427
2013-01-29 09:00:00,10.472509917264006,12.97879,7.2619934,40.29466996380732,48.685238,31.497177,1.180760445401351,2.762229,0.18533926
2013-01-30 09:00:00,13.665744782361514,15.4844055,10.750366,35.30207226586041,43.104984,26.69672,0.5196521286052035,1.1748947,0.1598313
2013-01-31 09:00:00,16.403503326490693,17.528595,14.284454,29.07189956187554,33.579594,21.28994,1.0895619240902379,2.6094348,0.46645474
2013-02-01 09:00:00,17.914286351119586,19.966736,15.3836975,19.66433825963001,27.909193,11.506849,0.984618090745091,2.3596106,0.51565737
2013-02-02 09:00:00,19.931235505883535,21.410187,17.856842,17.101833267538858,21.567902,12.925889,0.8696036929530576,1.7279006,0.17365353
2013-02-03 09:00:00,20.05895642897076,22.049744,17.157166,21.68137910840307,27.717548,15.959098,0.5730676993062188,2.0226316,0.09373355
2013-02-04 09:00:00,17.289224492756887,20.957489,15.4028015,37.68218997002918,44.171127,31.383633,0.5820318560165189,1.8452512,0.14323294
