time,t2m_mean_C,t2m_max_C,t2m_min_C,rh_mean,rh_max,rh_min,wind_mean,wind_max,wind_min
2013-01-01 09:00:00,6.263748156311976,8.530731,2.6635437,17.560937599349725,29.25254,13.072854,1.5826946050563384,2.423926,0.6252773
2013-01-02 09:00:00,9.148623512326196,12.767548,3.4491882,16.601681798804126,25.78416,11.582874,3.5367094756003707,4.8834825,1.8538011
2013-01-03 09:00:00,9.386363322368311,12.059631,3.9404907,18.49040420980148,31.017437,12.076009,2.7074935667832323,3.9646542,1.125338
2013-01-04 09:00:00,7.986807811003416,10.090546,3.1842957,20.922556918481813,31.562897,15.449616,2.301487549239554,3.3600488,0.912057
2013-01-05 09:00:00,8.853543548556843,10.889984,4.231781,32.653993256043904,40.57576,29.252493,1.8775866305602216,2.668911,0.9076342
2013-01-06 09:00:00,6.836615917712436,8.691284,3.0916748,58.82070218190412,66.45354,52.863693,1.120000862458518,1.7691542,0.45285708
2013-01-07 09:00:00,8.610354689981136,11.710541,4.5171814,31.36643417418638,45.152966,23.965466,1.290480831462369,1.9649235,0.40998295
2013-01-08 09:00:00,10.19027335258886,12.076202,7.0000305,38.72529862320424,51.52066,32.161285,1.7486352584529303,2.7726974,0.37689516
2013-01-09 09:00:00,12.564170148298786,14.472321,9.294586,26.212889041080455,41.96457,18.030975,1.5735340575329257,1.7896518,1.4233142
2013-01-10 09:00:00,7.203185442388701,9.769928,3.738678,46.11821325363538,66.034035,36.451675,0.5803591978266309,0.79335165,0.3975682
2013-01-11 09:00:00,6.31873151831212,9.965973,1.2843323,47.13172536528468,56.9235,38.946938,0.532094397146905,0.97078556,0.13492022
2013-01-12 09:00:00,5.363960133395267,9.63446,-0.43389893,20.88554175696848,30.614546,16.200483,1.4985475732774043,1.9317578,1.1356634
2013-01-13 09:00:00,4.842630048590195,8.274139,-0.62039185,14.316386613791032,26.44701,9.329822,1.8026657962592276,2.6414528,0.83321303
2013-01-14 09:00:00,5.450568241069618,9.020538,0.19241333,18.460645289891286,29.44573,12.734288,2.659962609963003,3.312106,2.1756835
2013-01-15 09:00:00,9.326349800814342,12.333435,4.2455444,20.116044392716727,26.768402,16.90512,2.1160143737309167,3.340189,0.64869684
2013-01-16 09:00:00,10.057734110887793,11.681061,7.3509827,6.788390893407517,13.6952,2.4452,2.808932184470729,4.1628904,1.3989708
2013-01-17 09:00:00,12.712880937976081,15.762238,8.3638,4.670880786235884,14.239437,-0.22302914,3.3599622163119722,4.9637666,1.231504
2013-01-18 09:00:00,13.259687449498642,15.700531,7.981781,7.766795551172549,17.86438,4.353756,3.500989922153853,4.831624,1.8132532
2013-01-19 09:00:00,12.311444599190338,14.571075,6.7742004,7.244194964468526,17.395916,1.2843828,3.4989024968675384,4.808322,1.8176478
2013-01-20 09:00:00,12.636529694328999,15.374084,6.694397,8.967653058106748,16.985054,3.8894157,3.352404457665519,4.532561,1.8959768
2013-01-21 09:00:00,13.951772962675818,16.513916,8.215088,7.8955283884801775,16.951096,3.586773,3.2149451544637393,4.613538,1.2958393
2013-01-22 09:00:00,14.50041555158731,16.521545,10.044983,7.75996394388553,21.479412,0.0071315765,2.522515915402914,3.6507068,1.0907711
2013-01-23 09:00:00,13.120877830475877,14.632538,9.382538,10.7184165999303,23.627745,6.0808697,1.819194400021739,2.4203799,0.7748435
2013-01-24 09:00:00,9.628900157845806,11.444519,6.4599304,75.3677180026617,82.17276,72.86769,1.9071918779300463,2.4836707,1.2045541
2013-01-25 09:00:00,12.075839796376272,14.096008,7.89093,86.02972422292355,91.02938,80.30282,0.9457945051292481,1.4229128,0.18069538
2013-01-26 09:00:00,14.1817995042814,17.267395,9.249817,87.07752381689393,93.60932,73.30073,0.8156209957140879,1.2813938,0.38634437
2013-01-27 09:00:00,11.623671685592342,14.641327,7.031952,49.02025488145207,54.31344,41.317345,1.0616955219351347,1.7271385,0.45030865
2013-01-28 09:00:00,9.546074957195174,12.931061,4.8509827,43.255745125364705,51.429474,35.60135,0.9690624863565945,1.2631729,0.82109594
2013-01-29 09:00:00,10.59487781473058,13.818024,6.1559143,50.685162009691304,60.486034,41.239925,0.9549888920939699,1.2755617,0.79688025
2013-01-30 09:00:00,14.265337074361696,15.917999,10.7812805,15.249059388716132,24.427189,10.85297,2.1721820563466223,2.703485,1.5844395
2013-01-31 09:00:00,17.157247741968774,18.866486,13.893829,18.2180662262151,30.348534,12.387595,1.1517975655394868,1.5687836,0.85374284
2013-02-01 09:00:00,15.734708642821488,17.716736,11.492126,16.670463128163973,23.41084,11.848338,0.9237686270939139,1.3635275,0.46818262
2013-02-02 09:00:00,17.088076758330942,19.023468,12.445343,18.39715645532102,33.53946,10.35196,1.6140572774629272,2.2782829,0.6126832
2013-02-03 09:00:00,14.829662429660914,16.936462,10.278259,22.371518039612265,38.41286,15.232535,1.0496570681689028,1.5173064,0.47310892
2013-02-04 09:00:00,17.38385945576414,19.644989,12.88913,19.17366950727258,31.725817,13.897692,0.9585151578706154,1.4310294,0.4920253
2013-02-05 09:00:00,15.519485514139149,17.340698,11.159058,21.065805008094184,36.438393,14.637459,1.3546621261042116,1.8326273,0.98029405
2013-02-06 09:00:00,11.944307811691147,14.112274,8.426727,25.465685224974063,39.558662,18.199287,0.6359080605569458,0.8323399,0.48862207
