time,t2m_mean_C,t2m_max_C,t2m_min_C,rh_mean,rh_max,rh_min,wind_mean,wind_max,wind_min
2013-01-01 09:00:00,3.2102218677580368,8.015106,-2.5454407,24.599362372890884,53.60821,12.6082115,1.9815503841668014,3.0990114,0.9019315
2013-01-02 09:00:00,4.5840671849891805,11.2030945,-1.0918274,24.005915509039216,55.17941,11.246937,3.055621087133801,4.0786133,1.276121
2013-01-03 09:00:00,6.014047733874861,11.202209,0.506897,25.81276274833998,53.493977,15.060405,2.092616997848218,3.2424774,0.41243723
2013-01-04 09:00:00,5.333266257444791,10.154999,-0.17507935,36.39844979858984,50.55459,26.23037,1.9204942280398165,2.6448455,1.1378324
2013-01-05 09:00:00,6.015242324580754,10.6770935,0.063812256,41.084573417846656,62.480736,35.161697,1.5025507143798282,2.477593,0.51267827
2013-01-06 09:00:00,3.4769207246486076,7.331909,-0.18371582,57.30288948877472,65.20201,48.151226,1.6246823864262168,2.1301155,1.1418436
2013-01-07 09:00:00,6.899023547781496,11.817963,1.1479187,45.93397344176991,62.92219,36.129528,1.5821778859368414,2.1466875,0.7412824
2013-01-08 09:00:00,8.41077037818286,13.507843,2.8789368,47.407242049064365,62.192535,35.141754,2.020533222098059,2.614172,0.8069069
2013-01-09 09:00:00,10.349914226213684,14.862946,4.5211487,38.800177211516974,60.67143,28.894085,0.8185817162751351,2.2750027,0.0804453
2013-01-10 09:00:00,4.429638921016249,8.193756,1.3070374,60.48839682260667,74.29381,41.783707,1.1736926939419614,2.6658738,0.7462178
2013-01-11 09:00:00,2.8399305025725425,8.587067,-3.719574,54.64148735011666,66.91178,46.73152,1.1028503091165593,2.562914,0.2982895
2013-01-12 09:00:00,1.7203034076522385,6.396179,-4.54718,28.404627060662836,50.020798,12.962202,1.4923238176240963,1.9685605,0.90947664
2013-01-13 09:00:00,1.3778343143259804,6.0749207,-5.091095,22.214978320941622,39.81029,10.484344,2.359926670845733,3.1066992,0.9021573
2013-01-14 09:00:00,0.727266141147993,5.954132,-5.9150085,27.956943106661505,42.94458,16.194578,2.6958351570078825,3.6431284,0.7627287
2013-01-15 09:00:00,6.118773016946591,10.909607,0.07562256,22.34740231762542,38.858246,15.045745,2.32099466072589,3.2841136,0.9007066
2013-01-16 09:00:00,8.816745946671745,14.065826,3.606842,10.320727871824493,28.214731,3.1563673,3.184818995776292,4.269414,1.7364861
2013-01-17 09:00:00,10.436371711466734,16.359894,4.7583313,8.790973587378707,33.42851,1.7613459,3.4756792233285885,4.5922527,1.8287592
2013-01-18 09:00:00,10.22578506274391,16.454437,3.934906,11.772990504852295,36.286568,2.9854736,2.9309560411216373,4.022783,1.2821254
2013-01-19 09:00:00,9.287018237437337,15.824982,3.1511536,9.205691908153744,32.528824,0.65547657,2.7840342326116914,3.8716073,1.2202998
2013-01-20 09:00:00,9.404792563376986,15.401428,2.7979126,8.83906789233141,32.51051,2.7067757,2.5684191081676024,3.560654,1.1640736
2013-01-21 09:00:00,10.352172745015935,16.715088,4.29126,9.118102532664148,36.67271,1.8328667,2.7544769344225997,3.7923439,1.2609926
2013-01-22 09:00:00,11.887749772553889,16.396545,5.8672485,12.964768497926089,41.60785,3.7958183,1.852707892674926,2.7250016,0.5565657
